time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-10T09:37:28.180Z,33.51,-116.7956667,7.3,0.390,ml,18,72,0.07369,0.14,ci,ci38022416,2017-10-10T13:35:34.103Z,"10km NE of Aguanga, CA",earthquake,0.34,0.96,0.149,13,reviewed,ci,ci
2017-10-10T09:41:01.368Z,59.7733,-136.6867,0,1.900,ml,,,,0.75,ak,ak17004174,2017-10-10T09:48:17.422Z,"85km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-10-10T09:51:11.900Z,38.7801666,-122.716835,2.43,0.940,md,7,127,0.006898,0.02,nc,nc72906951,2017-10-10T10:34:04.259Z,"3km E of The Geysers, California",earthquake,0.75,1.28,0.31,5,automatic,nc,nc
2017-10-10T09:54:27.970Z,33.9765,-116.2718333,4.56,2.410,ml,86,31,0.09637,0.15,ci,ci38022424,2017-10-10T15:53:18.750Z,"18km SSE of Joshua Tree, CA",earthquake,0.1,0.37,0.123,130,reviewed,ci,ci
2017-10-10T10:03:50.530Z,37.6096667,-118.8233333,2.71,0.290,md,8,189,0.02014,0.02,nc,nc72906966,2017-10-11T02:21:04.143Z,"13km ESE of Mammoth Lakes, California",earthquake,0.55,1.15,0.285,6,reviewed,nc,nc
2017-10-10T10:04:00.840Z,42.6508333,-111.4445,2.42,2.190,ml,21,74,0.01332,0.12,uu,uu60251967,2017-10-10T17:44:51.200Z,"13km E of Soda Springs, Idaho",earthquake,0.25,0.36,0.069,5,reviewed,uu,uu
2017-10-10T10:06:26.980Z,45.7183333,-112.121,6.11,0.530,ml,5,119,0.208,0.09,mb,mb80260419,2017-10-10T14:29:18.400Z,"17km S of Whitehall, Montana",earthquake,0.83,7.6,0.191,3,reviewed,mb,mb
2017-10-10T10:11:11.090Z,37.4246667,-113.117,11.24,0.570,md,5,179,0.06877,0.03,uu,uu60251972,2017-10-10T17:40:08.700Z,"24km NE of Toquerville, Utah",earthquake,0.46,0.72,0.443,4,reviewed,uu,uu
2017-10-10T10:15:31.870Z,33.9793333,-116.2725,6.36,0.790,ml,27,53,0.09836,0.14,ci,ci38022432,2017-10-10T15:58:54.090Z,"18km SSE of Joshua Tree, CA",earthquake,0.2,0.59,0.112,15,reviewed,ci,ci
2017-10-10T10:23:26.390Z,35.82,-117.7208333,7.33,0.580,ml,14,62,0.03758,0.1,ci,ci38022440,2017-10-10T16:34:14.408Z,"21km NNE of Inyokern, CA",earthquake,0.22,0.44,0.113,5,reviewed,ci,ci
2017-10-10T10:35:20.390Z,45.3073333,-121.6858333,8.23,0.520,ml,6,171,0.03325,0.11,uw,uw61339836,2017-10-10T18:59:04.720Z,"23km ESE of Mount Hood Village, Oregon",earthquake,0.86,0.77,0.065,4,reviewed,uw,uw
2017-10-10T10:36:03.450Z,37.4973333,-118.829,1.85,1.040,md,14,299,0.09253,0.04,nc,nc72906976,2017-10-11T02:42:03.159Z,"21km SE of Mammoth Lakes, California",earthquake,1.13,3.12,0.202,12,reviewed,nc,nc
2017-10-10T10:36:08.948Z,58.9932,-154.807,138,2.200,ml,,,,0.26,ak,ak17004182,2017-10-10T17:50:19.879Z,"84km S of Old Iliamna, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2017-10-10T10:36:16.818Z,39.9943,-120.7724,10.1,0.500,ml,7,132.45,0.098,0.0982,nn,nn00608763,2017-10-10T17:58:46.403Z,"12km ENE of East Quincy, California",earthquake,,4.9,0,1,reviewed,nn,nn
2017-10-10T10:40:33.950Z,42.6183333,-111.3601667,-0.87,2.070,ml,17,62,0.07528,0.14,uu,uu60251977,2017-10-10T17:48:28.470Z,"20km E of Soda Springs, Idaho",earthquake,0.58,1.01,0.229,7,reviewed,uu,uu
2017-10-10T10:41:57.547Z,41.9635,-118.5281,4,1.800,ml,5,208.01,0.477,0.1358,nn,nn00608764,2017-10-10T18:05:06.202Z,"8km E of Denio Junction, Nevada",earthquake,,7.6,0.32,5,reviewed,nn,nn
